,Date,month,year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_675nm,AOD_500nm,AOD_440nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty].1,N[AOD_Empty].2,N[AOD_Empty].3,N[AOD_Empty].4,N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),datetime
1680,17,12,2014,0.093634,0.096534,0.102016,0.115821,0.15489,0.179422,0.21214,0.225702,2.049666,0.833866,1.13475,1.005518,0.759796,0.890842,26,26,26,0,0,26,0,0,0,0,0,0,0,0,26,0,0,26,0,0,26,26,26,0,0,0,0,0,0,0,26,26,26,26,26,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-12-17
1681,18,12,2014,0.065002,0.077051,0.08776,0.114237,0.178561,0.217204,0.266283,0.28789,2.576536,1.336988,1.463159,1.495322,1.282034,1.120519,30,30,30,0,0,30,0,0,0,0,0,0,0,0,30,0,0,30,0,0,30,30,30,0,0,0,0,0,0,0,30,30,30,30,30,0,lev15,828,Sao_Paulo,-23.5615,-46.734983,786,2014-12-18
1682,23,2,2015,0.041003,0.061724,0.072067,0.10154,0.169032,0.208434,0.276644,0.317622,2.62798,1.550473,1.801514,1.665882,1.523228,1.683458,35,35,35,0,0,35,0,0,0,0,0,0,0,0,35,0,0,35,0,0,35,35,35,0,0,0,0,0,0,0,35,35,35,35,35,0,lev15,931,Sao_Paulo,-23.5615,-46.734983,786,2015-02-23
1683,24,2,2015,0.077256,0.09843,0.109264,0.139999,0.206814,0.243524,0.303398,0.338627,3.107794,1.263163,1.397938,1.354292,1.243332,1.300994,41,41,41,0,0,41,0,0,0,0,0,0,0,0,41,0,0,41,0,0,40,40,41,0,0,0,0,0,0,0,41,41,41,41,40,0,lev15,931,Sao_Paulo,-23.5615,-46.734983,786,2015-02-24
1684,25,2,2015,0.032122,0.048652,0.056007,0.077232,0.127213,0.154628,0.207461,0.241176,3.620173,1.506815,1.777367,1.624485,1.488456,1.769633,10,10,10,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,10,10,0,0,0,0,0,0,0,10,10,10,10,10,0,lev15,931,Sao_Paulo,-23.5615,-46.734983,786,2015-02-25
1685,26,2,2015,0.077516,0.082059,0.082407,0.090817,0.119407,0.135634,0.171153,0.185938,3.311141,0.870032,1.293612,1.047813,0.812678,1.228277,19,19,19,0,0,19,0,0,0,0,0,0,0,0,19,0,0,19,0,0,17,17,19,0,0,0,0,0,0,0,19,19,19,19,17,0,lev15,931,Sao_Paulo,-23.5615,-46.734983,786,2015-02-26
1686,11,3,2015,0.012546,0.017354,0.023001,0.032236,0.054908,0.070533,0.092933,0.105813,3.22351,1.681256,1.704853,1.848174,1.643537,1.616755,7,6,7,0,0,7,0,0,0,0,0,0,0,0,6,0,0,7,0,0,6,7,7,0,0,0,0,0,0,0,7,7,7,7,7,0,lev15,931,Sao_Paulo,-23.5615,-46.734983,786,2015-03-11
2908,26,1,2022,0.0735,0.182076,0.235736,0.320238,0.412767,0.437757,0.47691,0.501536,3.279643,0.916489,0.538432,0.752235,1.006652,0.522196,41,42,42,0,0,42,0,0,0,0,0,0,0,0,42,0,0,42,0,0,42,40,42,0,0,0,0,0,0,0,42,42,42,42,42,0,lev15,669,Sao_Paulo,-23.5615,-46.734983,786,2022-01-26
2909,3,2,2022,0.04595,0.105717,0.143921,0.227587,0.390386,0.464691,0.566635,0.628444,3.666826,1.739491,1.378735,1.683388,1.796483,1.175739,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,lev15,669,Sao_Paulo,-23.5615,-46.734983,786,2022-02-03
2910,4,2,2022,0.017162,0.034665,0.043842,0.064414,0.105027,0.120877,0.142295,0.147997,3.721047,1.519848,1.120722,1.495418,1.578282,0.885106,15,15,15,0,0,15,0,0,0,0,0,0,0,0,15,0,0,15,0,0,15,13,15,0,0,0,0,0,0,0,15,15,15,15,15,0,lev15,669,Sao_Paulo,-23.5615,-46.734983,786,2022-02-04
